DOC_CONTABLE_;TEXTO_BREVE;SALDO_INICIAL;MOVIMIENTOS_CREDITO;SALDO_ACUMULADO;;
1630150029;CXC: AUTORETENCION R;0;3591442262;0;;
163025;SOBRANTES EN LIQUIDACIÓN PRIVADA DE IMPUESTOS;4336541635;8781895635;7138351669;;
1630250001;CXC: SOBRANTES ANTIC;4336541635;8781895635;7138351669;;
163035;IMPUESTOS DESCONTABLES;0;79685930,65;0;;
1630350001;CXC: IVA DESCONTABLE;0;79685930,65;0;;
1634;A EMPLEADOS;441511535,4;529683603,4;0;;
163495;OTROS;441511535,4;529683603,4;0;;
1634950001;CXC: ANTICIPO SUELDO;-393041;0;0;;
1634950002;CXC: OTROS ANTICIPOS;-1458544;801800;0;;
1634950003;CAJA;0,4;0,4;0;;
1634950004;CAJA;443363120;527508199;0;;
1634950010;CAJA;0;1373604;0;;
1675;CAJA;1674634864;20445702327;5738539196;;
167500;CAJA;1674634864;20445702327;5738539196;;
1675000001;CAJA;1674634864;20445702327;5738539196;;
1676;CAJA;93983;73245978;18170520;;
167600;CAJA;93983;73245978;18170520;;
1676000001;CAJA;93983;73245978;18170520;;
1678;CAJA;1,02E+11;6,60E+12;1,08E+11;;
167800;CAJA;1,02E+11;6,60E+12;1,08E+11;;
1678000005;CAJA;1,41E+11;3,47E+12;1,15E+11;;
1678000010;CAJA;-3119264704;6,21E+11;-2579267104;;
1678000011;CAJA;-36226421958;2,51E+12;-4590982065;;
1680;CAJA;2,09E+11;8,24E+11;88318992873;;
168010;CAJA;1,13E+11;2,01E+11;53672242253;;
1680100005;CAJA;-1,15E+11;23944996656;-55542847738;;
1680100006;CAJA;-1077975390;445683215;-16373928;;
1680100007;CAJA;-200000;0;-200000;;
1680100008;CAJA;-23310061;42236541;-32032154;;
1680100022;CAJA;32108016,37;2301080546;8665960,87;;
1680100024;CAJA;1086373773;1507284677;24772311;;
1680100026;CAJA;200000;0;200000;;
1680100101;CAJA;1,16E+11;85665007305;55700840402;;
1680100102;CAJA;1069577007;1507284677;7975545;;
1680100103;CAJA;200000;0;200000;;
1680100104;CAJA;23310061;33514448;32032154;;
1680101522;CAJA;74086519250;31064584933;53016256721;;
1680102022;CAJA;382223571,3;4794095881;472746129;;
1680103022;CAJA;37445607569;49387534812;6851;;
168020;CAJA;94544615920;1,85E+11;5252381507;;
1680200037;CAJA;-9069693;0;-9069693;;
1680200038;CAJA;96092083;104319167;689867;;
1680200040;CAJA;179889304;344603372;158677811;;
1680200053;CAJA;69063954;47351792;34353344;;
1680201505;CAJA;94199404674;1,84E+11;5061235525;;
